                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37761,                0.28259,                0.78978,                0.96676,                0.93868,                0.96552,                 0.8476,                0.44531,                0.35044,                 0.7487,              0.0013268,              0.0013268,              0.0013268
                     37,                0.37528,                0.28177,                0.78991,                0.96973,                0.94843,                0.96813,                0.85284,                0.45382,                0.34414,                0.75268,               0.001307,               0.001307,               0.001307
                     38,                0.40175,                0.29026,                0.78975,                 0.9701,                 0.9434,                0.96976,                 0.8545,                0.46336,                0.35719,                0.75241,              0.0012872,              0.0012872,              0.0012872
                     39,                0.38691,                0.28586,                0.79051,                 0.9699,                0.94682,                0.96941,                0.85984,                0.43108,                0.34214,                0.74659,              0.0012674,              0.0012674,              0.0012674
                     40,                 0.3727,                0.27895,                0.78863,                0.96874,                0.95008,                0.96905,                0.84617,                0.45592,                0.33051,                 0.7536,              0.0012476,              0.0012476,              0.0012476
                     41,                0.35715,                0.27143,                0.78995,                0.96983,                0.94963,                0.97177,                0.87553,                0.41929,                0.32312,                0.74915,              0.0012278,              0.0012278,              0.0012278
                     42,                0.35602,                0.26744,                0.78773,                0.96091,                0.94431,                0.96657,                0.85063,                0.44434,                0.33627,                0.75009,               0.001208,               0.001208,               0.001208
                     43,                0.37456,                0.27481,                0.78698,                0.96849,                0.94977,                0.96862,                0.86164,                0.43398,                 0.3233,                0.74799,              0.0011882,              0.0011882,              0.0011882
                     44,                0.36004,                0.26737,                0.79186,                0.96963,                0.94862,                0.96995,                0.86498,                0.43829,                0.31857,                0.75543,              0.0011684,              0.0011684,              0.0011684
                     45,                0.36703,                0.26769,                0.78721,                0.97188,                0.94817,                0.97014,                 0.8534,                0.45074,                0.33591,                0.75669,              0.0011486,              0.0011486,              0.0011486
                     46,                0.36564,                0.27283,                0.78594,                0.96665,                 0.9452,                0.96753,                0.85614,                0.44018,                0.33913,                0.74747,              0.0011288,              0.0011288,              0.0011288
                     47,                0.34872,                0.26419,                0.78732,                0.96914,                0.94312,                0.96731,                0.85479,                0.43573,                 0.3358,                0.75198,               0.001109,               0.001109,               0.001109
                     48,                 0.3441,                0.25804,                0.78781,                0.97149,                0.94518,                0.97034,                0.86873,                  0.428,                0.33043,                0.75263,              0.0010892,              0.0010892,              0.0010892
                     49,                0.34276,                0.25747,                0.78593,                0.97537,                 0.9475,                0.97154,                0.85904,                0.43466,                0.32099,                 0.7424,              0.0010694,              0.0010694,              0.0010694
                     50,                0.34142,                0.25761,                0.78845,                 0.9748,                0.94638,                0.96947,                0.85915,                0.43055,                0.32027,                0.74554,              0.0010496,              0.0010496,              0.0010496
                     51,                0.34695,                 0.2582,                0.78634,                0.96987,                 0.9488,                0.97052,                0.86827,                0.42118,                0.32175,                0.74869,              0.0010298,              0.0010298,              0.0010298
                     52,                0.34521,                0.25483,                0.78557,                0.96692,                0.94936,                0.96759,                0.86117,                0.43125,                0.32525,                0.75088,                0.00101,                0.00101,                0.00101
                     53,                0.33705,                0.25207,                0.78358,                0.97463,                 0.9537,                0.97229,                 0.8692,                0.42757,                0.32712,                 0.7492,              0.0009902,              0.0009902,              0.0009902
                     54,                 0.3406,                0.25249,                0.78822,                0.96433,                0.94421,                0.96838,                0.86093,                0.43412,                0.33418,                0.74724,              0.0009704,              0.0009704,              0.0009704
                     55,                0.33892,                0.25259,                 0.7887,                0.97249,                 0.9524,                0.97404,                0.86813,                0.41396,                0.33181,                0.74472,              0.0009506,              0.0009506,              0.0009506
                     56,                  0.328,                0.24694,                0.78686,                0.97128,                 0.9488,                0.97313,                0.86531,                0.42437,                0.32622,                0.74503,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.3255,                0.24953,                0.78103,                0.96843,                0.95215,                0.97301,                0.86885,                0.42433,                0.32214,                 0.7461,               0.000911,               0.000911,               0.000911
                     58,                0.33348,                0.25022,                0.78761,                0.97274,                0.95226,                0.97351,                0.88067,                0.41167,                0.30411,                0.74278,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.3229,                0.24582,                0.78725,                0.97681,                0.94725,                0.97361,                0.88214,                0.42121,                0.31833,                 0.7436,              0.0008714,              0.0008714,              0.0008714
                     60,                0.31626,                0.24294,                0.78464,                0.97051,                0.94806,                0.97128,                0.86238,                0.42115,                0.31546,                0.74952,              0.0008516,              0.0008516,              0.0008516
                     61,                   0.32,                0.24169,                0.78663,                0.97205,                0.95395,                0.97536,                0.88215,                0.40683,                0.31667,                0.74751,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.3203,                0.24304,                  0.784,                0.97323,                0.94992,                0.97289,                0.86456,                0.42044,                0.32256,                0.74867,               0.000812,               0.000812,               0.000812
                     63,                0.31957,                0.24081,                0.78503,                0.96971,                0.94968,                0.97284,                0.87443,                0.42809,                0.31952,                0.74896,              0.0007922,              0.0007922,              0.0007922
                     64,                0.31765,                0.24076,                0.78376,                0.97387,                0.94483,                0.97108,                0.87205,                 0.4202,                0.30322,                0.74636,              0.0007724,              0.0007724,              0.0007724
                     65,                0.31761,                 0.2371,                0.78309,                0.97224,                0.94663,                0.97094,                0.87362,                0.41054,                0.30923,                 0.7479,              0.0007526,              0.0007526,              0.0007526
                     66,                0.31038,                0.23493,                0.78521,                0.97288,                0.95066,                0.97251,                0.87295,                 0.4023,                0.29204,                0.74627,              0.0007328,              0.0007328,              0.0007328
                     67,                0.30597,                0.23112,                0.78478,                0.97222,                0.95302,                0.97284,                0.87013,                0.41241,                0.30751,                0.74634,               0.000713,               0.000713,               0.000713
                     68,                 0.3031,                0.22916,                0.78324,                0.97169,                0.94948,                0.97186,                0.86783,                0.40229,                0.29953,                0.74597,              0.0006932,              0.0006932,              0.0006932
                     69,                0.29996,                0.22923,                0.78733,                0.97581,                 0.9514,                 0.9725,                0.88015,                0.39203,                0.29746,                0.74406,              0.0006734,              0.0006734,              0.0006734
                     70,                0.31023,                0.23385,                0.78468,                0.97166,                0.94638,                0.96988,                0.87439,                0.39909,                0.30264,                0.74716,              0.0006536,              0.0006536,              0.0006536
